Gene,log2FC,pVal,pAdj,NES
BCS1L,-0.109698571,0.782652522,0.91927911,26.80712
BCS1L,-0.109698571,0.782652522,0.91927911,26.80712
GSR,-0.167392168,0.572854451,0.818836873,59.66459
GSR,-0.167392168,0.572854451,0.818836873,59.66459
GSR,-0.167392168,0.572854451,0.818836873,59.66459
MGST1,0.670627063,0.221958478,0.540887764,1092.22
MGST1,0.670627063,0.221958478,0.540887764,1092.22
MGST1,0.670627063,0.221958478,0.540887764,1092.22
MGST1,0.670627063,0.221958478,0.540887764,1092.22
MGST1,0.670627063,0.221958478,0.540887764,1092.22
MGST1,0.670627063,0.221958478,0.540887764,1092.22
MGST1,0.670627063,0.221958478,0.540887764,1092.22
GLRX5,0.218990274,0.343715262,0.665374612,230.0035
GLRX5,0.218990274,0.343715262,0.665374612,230.0035
GLRX5,0.218990274,0.343715262,0.665374612,230.0035
GLRX5,0.218990274,0.343715262,0.665374612,230.0035
GPX8,-0.444054046,0.239368614,0.560375955,18.795
GPX8,-0.444054046,0.239368614,0.560375955,18.795
GPX8,-0.444054046,0.239368614,0.560375955,18.795
GPX8,-0.444054046,0.239368614,0.560375955,18.795
HMOX1,0.372446224,0.41536969,0.720044646,30.82627
MGST3,-0.083483165,0.777353666,0.917256109,146.6853
MGST3,-0.083483165,0.777353666,0.917256109,146.6853
SELENOP,1.215161843,1.69149E-12,2.73027E-10,542.9662
SELENOP,1.215161843,1.69149E-12,2.73027E-10,542.9662
SELENOP,1.215161843,1.69149E-12,2.73027E-10,542.9662
SELENOP,1.215161843,1.69149E-12,2.73027E-10,542.9662
SOD2,0.741663254,0.028071325,0.174965262,494.4162
SOD2,0.741663254,0.028071325,0.174965262,494.4162
SOD2,0.741663254,0.028071325,0.174965262,494.4162
PRDX2,-0.294385294,0.022961758,0.154217077,215.305
PRDX2,-0.294385294,0.022961758,0.154217077,215.305
PRDX2,-0.294385294,0.022961758,0.154217077,215.305
PRDX2,-0.294385294,0.022961758,0.154217077,215.305
PRDX2,-0.294385294,0.022961758,0.154217077,215.305
NQO2,-0.271592587,0.509387473,0.782972117,24.17289
NQO2,-0.271592587,0.509387473,0.782972117,24.17289
NQO2,-0.271592587,0.509387473,0.782972117,24.17289
NQO2,-0.271592587,0.509387473,0.782972117,24.17289
NQO2,-0.271592587,0.509387473,0.782972117,24.17289
NQO2,-0.271592587,0.509387473,0.782972117,24.17289
GSTZ1,0.530208269,0.248008254,0.570871101,120.64053
GSTZ1,0.530208269,0.248008254,0.570871101,120.64053
GSTZ1,0.530208269,0.248008254,0.570871101,120.64053
GSTZ1,0.530208269,0.248008254,0.570871101,120.64053
TXNRD1,-0.152021416,0.616491796,0.84154474,97.27236
MSRB1,-0.340754973,0.202387677,0.519132349,94.83108
MSRB1,-0.340754973,0.202387677,0.519132349,94.83108
MSRB1,-0.340754973,0.202387677,0.519132349,94.83108
MSRB1,-0.340754973,0.202387677,0.519132349,94.83108
MSRB1,-0.340754973,0.202387677,0.519132349,94.83108
MSRB1,-0.340754973,0.202387677,0.519132349,94.83108
APEX1,-1.090002171,0.006114741,0.064731919,21.32102
APEX1,-1.090002171,0.006114741,0.064731919,21.32102
MAFK,-0.554532562,0.24615218,0.5690002,33.98642
MAFK,-0.554532562,0.24615218,0.5690002,33.98642
MAFK,-0.554532562,0.24615218,0.5690002,33.98642
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
FOXO1,-0.134211047,0.606454295,0.837028816,33.98961
GSTM1,0.141515938,0.7612924,0.910028639,58.31466
GSTM1,0.141515938,0.7612924,0.910028639,58.31466
GSTM1,0.141515938,0.7612924,0.910028639,58.31466
GSTM1,0.141515938,0.7612924,0.910028639,58.31466
GPX3,0.110300855,0.813724213,0.931815473,696.2261
GPX3,0.110300855,0.813724213,0.931815473,696.2261
GPX3,0.110300855,0.813724213,0.931815473,696.2261
GSTK1,0.224091646,0.592501114,0.829099111,37.61106
GSTK1,0.224091646,0.592501114,0.829099111,37.61106
GSTK1,0.224091646,0.592501114,0.829099111,37.61106
GSTK1,0.224091646,0.592501114,0.829099111,37.61106
GSTK1,0.224091646,0.592501114,0.829099111,37.61106
GSTK1,0.224091646,0.592501114,0.829099111,37.61106
PRDX3,0.237294517,0.404394716,0.711799965,100.36959
PRDX3,0.237294517,0.404394716,0.711799965,100.36959
PRDX3,0.237294517,0.404394716,0.711799965,100.36959
PRDX3,0.237294517,0.404394716,0.711799965,100.36959
MSRA,0.239474097,0.477339507,0.762545124,30.30814
MSRA,0.239474097,0.477339507,0.762545124,30.30814
MSRA,0.239474097,0.477339507,0.762545124,30.30814
MSRA,0.239474097,0.477339507,0.762545124,30.30814
MSRA,0.239474097,0.477339507,0.762545124,30.30814
SOD3,0.897001142,0.084951066,0.332569704,74.86143
SOD3,0.897001142,0.084951066,0.332569704,74.86143
SOD3,0.897001142,0.084951066,0.332569704,74.86143
GPX1,0.059587401,0.787638101,0.92126079,943.1834
GPX1,0.059587401,0.787638101,0.92126079,943.1834
GPX1,0.059587401,0.787638101,0.92126079,943.1834
GPX1,0.059587401,0.787638101,0.92126079,943.1834
NQO1,0.205149382,0.428234787,0.730351388,28.67808
NQO1,0.205149382,0.428234787,0.730351388,28.67808
SOD1,0.432916529,0.266054082,0.588739492,3247.917
SOD1,0.432916529,0.266054082,0.588739492,3247.917
PRDX6,0.459717002,0.052667977,0.254670328,299.5878
PRDX6,0.459717002,0.052667977,0.254670328,299.5878
PRDX6,0.459717002,0.052667977,0.254670328,299.5878
TFAM,-0.072968843,0.81369696,0.931815473,126.772
TFAM,-0.072968843,0.81369696,0.931815473,126.772
TFEB,0.152511749,0.77810361,0.917377125,20.70109
TFEB,0.152511749,0.77810361,0.917377125,20.70109
TFEB,0.152511749,0.77810361,0.917377125,20.70109
TFEB,0.152511749,0.77810361,0.917377125,20.70109
TFEB,0.152511749,0.77810361,0.917377125,20.70109
TFEB,0.152511749,0.77810361,0.917377125,20.70109
CREB1,0.040273389,0.82669062,0.935965569,162.6112
CREB1,0.040273389,0.82669062,0.935965569,162.6112
CREB1,0.040273389,0.82669062,0.935965569,162.6112
CREB1,0.040273389,0.82669062,0.935965569,162.6112
MEF2D,0.429179557,0.052451367,0.254329839,91.34861
MEF2D,0.429179557,0.052451367,0.254329839,91.34861
MEF2D,0.429179557,0.052451367,0.254329839,91.34861
MEF2D,0.429179557,0.052451367,0.254329839,91.34861
MEF2D,0.429179557,0.052451367,0.254329839,91.34861
PRKAA1,-0.010672079,0.972478263,0.99200703,19.08207
PRKAA1,-0.010672079,0.972478263,0.99200703,19.08207
PRKAA1,-0.010672079,0.972478263,0.99200703,19.08207
PRKAA1,-0.010672079,0.972478263,0.99200703,19.08207
PRKAA1,-0.010672079,0.972478263,0.99200703,19.08207
MEF2C,-0.251529315,0.552407126,0.808636043,31.02975
MEF2C,-0.251529315,0.552407126,0.808636043,31.02975
GSTP1,-0.310913853,0.055612133,0.262381204,190.2263
GSTP1,-0.310913853,0.055612133,0.262381204,190.2263
MSRB3,0.108095851,0.831805287,0.938230342,19.09555
MSRB3,0.108095851,0.831805287,0.938230342,19.09555
MSRB3,0.108095851,0.831805287,0.938230342,19.09555
MSRB3,0.108095851,0.831805287,0.938230342,19.09555
MSRB3,0.108095851,0.831805287,0.938230342,19.09555
MSRB2,-0.566388483,0.050340401,0.247529641,13.36568
MSRB2,-0.566388483,0.050340401,0.247529641,13.36568
MSRB2,-0.566388483,0.050340401,0.247529641,13.36568
MSRB2,-0.566388483,0.050340401,0.247529641,13.36568
GLRX,-0.45564378,0.131880577,0.420540568,29.57408
GLRX,-0.45564378,0.131880577,0.420540568,29.57408
GLRX,-0.45564378,0.131880577,0.420540568,29.57408
GLRX,-0.45564378,0.131880577,0.420540568,29.57408
GLRX,-0.45564378,0.131880577,0.420540568,29.57408
MAFF,-0.921775597,0.13218542,0.421341026,8.248733
MAFF,-0.921775597,0.13218542,0.421341026,8.248733
TIMM17A,0.156795884,0.586973563,0.82631227,241.8093
TIMM17A,0.156795884,0.586973563,0.82631227,241.8093
TIMM17A,0.156795884,0.586973563,0.82631227,241.8093
TIMM17A,0.156795884,0.586973563,0.82631227,241.8093
TIMM17A,0.156795884,0.586973563,0.82631227,241.8093
PMPCB,-0.410809482,0.120222498,0.402119986,59.48148
PMPCB,-0.410809482,0.120222498,0.402119986,59.48148
PMPCB,-0.410809482,0.120222498,0.402119986,59.48148
GRPEL1,0.178945928,0.407586215,0.713663316,242.8755
GRPEL1,0.178945928,0.407586215,0.713663316,242.8755
GRPEL1,0.178945928,0.407586215,0.713663316,242.8755
TOMM20,-0.162993814,0.182236843,0.490929501,105.2506
TOMM20,-0.162993814,0.182236843,0.490929501,105.2506
TIMM8B,0.261032108,0.186100832,0.495793895,280.1383
YY1,0.173016271,0.376463584,0.691813326,173.084
YY1,0.173016271,0.376463584,0.691813326,173.084
YY1,0.173016271,0.376463584,0.691813326,173.084
ESRRA,0.059738751,0.84798427,0.94416795,69.59004
POLG2,-0.859087996,0.135695457,0.426537596,16.57719
TFB1M,-0.843560834,0.230122094,0.550499867,8.98799
TFB1M,-0.843560834,0.230122094,0.550499867,8.98799
TFB1M,-0.843560834,0.230122094,0.550499867,8.98799
TFB1M,-0.843560834,0.230122094,0.550499867,8.98799
TFB1M,-0.843560834,0.230122094,0.550499867,8.98799
PPRC1,-1.190122238,0.02663839,0.168994035,14.32791
PPRC1,-1.190122238,0.02663839,0.168994035,14.32791
PPRC1,-1.190122238,0.02663839,0.168994035,14.32791
PPRC1,-1.190122238,0.02663839,0.168994035,14.32791
TMEM126B,0.028345409,0.91510352,0.968747519,23.03454
TMEM126B,0.028345409,0.91510352,0.968747519,23.03454
TMEM126B,0.028345409,0.91510352,0.968747519,23.03454
TMEM126B,0.028345409,0.91510352,0.968747519,23.03454
SDHA,0.033688974,0.829554673,0.937293542,135.4464
SDHA,0.033688974,0.829554673,0.937293542,135.4464
SDHA,0.033688974,0.829554673,0.937293542,135.4464
SDHA,0.033688974,0.829554673,0.937293542,135.4464
NDUFA3,-0.076263019,0.681426409,0.876851941,727.355
NDUFA3,-0.076263019,0.681426409,0.876851941,727.355
NDUFA3,-0.076263019,0.681426409,0.876851941,727.355
NDUFA3,-0.076263019,0.681426409,0.876851941,727.355
NDUFC2,0.24099577,0.293047958,0.616397235,539.7844
NDUFC2,0.24099577,0.293047958,0.616397235,539.7844
NDUFC2,0.24099577,0.293047958,0.616397235,539.7844
NDUFC2,0.24099577,0.293047958,0.616397235,539.7844
NDUFA10,0.28508793,0.419458561,0.72304995,669.0198
NDUFA2,0.112631458,0.575723363,0.820066966,707.5843
NDUFA2,0.112631458,0.575723363,0.820066966,707.5843
SURF1,-0.053148787,0.826332866,0.935965569,57.44106
SURF1,-0.053148787,0.826332866,0.935965569,57.44106
SURF1,-0.053148787,0.826332866,0.935965569,57.44106
COA3,-0.026802988,0.881912377,0.95782414,219.9179
COA3,-0.026802988,0.881912377,0.95782414,219.9179
COA3,-0.026802988,0.881912377,0.95782414,219.9179
COA3,-0.026802988,0.881912377,0.95782414,219.9179
NDUFAF2,0.173621972,0.462241843,0.752595191,53.82593
NDUFAF2,0.173621972,0.462241843,0.752595191,53.82593
TMEM70,0.004415778,0.983252892,0.995188789,76.04012
TMEM70,0.004415778,0.983252892,0.995188789,76.04012
TMEM70,0.004415778,0.983252892,0.995188789,76.04012
LRPPRC,0.437604436,0.139363046,0.432508863,59.07554
LRPPRC,0.437604436,0.139363046,0.432508863,59.07554
LRPPRC,0.437604436,0.139363046,0.432508863,59.07554
TACO1,-0.074770293,0.897514982,0.963147001,20.92414
TACO1,-0.074770293,0.897514982,0.963147001,20.92414
COX14,0.277718195,0.139429081,0.432608739,310.7253
COX14,0.277718195,0.139429081,0.432608739,310.7253
COX14,0.277718195,0.139429081,0.432608739,310.7253
COX14,0.277718195,0.139429081,0.432608739,310.7253
COX14,0.277718195,0.139429081,0.432608739,310.7253
NDUFA7,0.07364622,0.72683165,0.896613734,583.3503
NDUFA7,0.07364622,0.72683165,0.896613734,583.3503
MRPS18C,-0.263070709,0.102497985,0.369723525,118.9375
MRPS18C,-0.263070709,0.102497985,0.369723525,118.9375
MRPS18C,-0.263070709,0.102497985,0.369723525,118.9375
MRPS18C,-0.263070709,0.102497985,0.369723525,118.9375
MRPS31,-0.020084637,0.951276257,0.985228379,50.02958
MRPS31,-0.020084637,0.951276257,0.985228379,50.02958
MRPS31,-0.020084637,0.951276257,0.985228379,50.02958
MRPS31,-0.020084637,0.951276257,0.985228379,50.02958
MRPL41,0.193077981,0.240897205,0.562356871,127.48411
MRPL41,0.193077981,0.240897205,0.562356871,127.48411
MRPL41,0.193077981,0.240897205,0.562356871,127.48411
FOXO3,-0.274462127,0.299602195,0.622509808,62.37608
FOXO3,-0.274462127,0.299602195,0.622509808,62.37608
FOXO3,-0.274462127,0.299602195,0.622509808,62.37608
FOXO3,-0.274462127,0.299602195,0.622509808,62.37608
FOXO3,-0.274462127,0.299602195,0.622509808,62.37608
TXN2,0.399936366,0.057054,0.26663032,240.715
HMOX2,-0.192076259,0.450213982,0.743906516,134.7763
HMOX2,-0.192076259,0.450213982,0.743906516,134.7763
KEAP1,0.042838889,0.810505222,0.930675259,49.39616
KEAP1,0.042838889,0.810505222,0.930675259,49.39616
GSTT2,0.424126843,0.034410595,0.198847532,55.97545
